క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
చిన్నబుచ్చు,"తక్కువపఱచు, న్యూనముచేయు, విఫలముచేయు, వ్యర్ధపఱచు, భంగపఱచు, చఱచు",చిన్న,,,2,,2,,,,
చిబుకు-చీకు,చప్పరించు,,,1,2,,,,,,
చిముటు,సైగచేయుటకై కన్ను మూసి తెఱచు,,,,1,,2,,,,
చిముడుచు(డ్చు),చిముడజేయు,చిముడు,,1,2,,,,,,
చిమ్ము,"విక్షేపించు, చల్లు, వెడలించు, తుడుచు, కొట్టు",,,,2,1,,,,,
చిఱుము,"చిమ్మ్ము, కోరడు. చెలరేగు",,,1,2,,,,,,
చిఱ్ఱుముఱ్ఱాడు,"చీల్చు, భేదించు, ఖండించు, నిరాకరించు",,,,1,,2,,,,
చిలికించు-చిలుకరించు,"చిలుకజేయు, చల్లు",చిల్లులు,,,1,,2,,,,
చిల్లరసేయు,"కలచు, కలవరపెట్టు",,,,2,1,,,,,
చిల్లులువు(వు)చ్చు,"చిల్లులుపడజేయు, తూటులు పడజేయు",చిల్లులువోవు,,1,2,,,,,,
చివ్వు,"చెక్కు, గీకు, గీచు, ఖండించు, త్రుంచు, రువ్వు",,,,1,,,2,,,
చీదు,విడుచు,,,,1,,2,,,,
చీకలించు-చికిలించు,మాటిమాటికి మూసి తెఱచు,,,1,2,,,,,,
చీకు,"చప్పరించు, చుంబించు, కొఱుకు, కఱచు",,,,1,2,,,,,
చీకొట్టు,"చీచీయగు, గర్హించు",,1,,2,,,,,,
చీఱు-చీరు,"పిలుచు, అహ్వానించు",,,,1,,2,,,,
చీల్చు(లుచు),"ఖండించు, ఛేదించు",చీలు,,,1,,,2,,,
చీళితపెట్టు,"తొలగించు, తీసివేయు",,,,2,,,1,,,
చుట్టివచ్చు,"పరివేష్టించు, చుట్టుకొను, ప్రద్క్షిణించు ",చుట్టు,,,2,,,,1,,
చుట్టుకొను,"వలయాకరముగా ధరించుకొను,చుట్టుముట్టు,ముట్టడించు",,,,1,,,,2,,
చుట్టుముట్టు,ముట్టడించు,,,,2,,,,1,,
చుట్టువాఱు,"చుట్టుకొను, పరివేష్టించు, ముట్టడించు, ఇదితమున్నంత రూపమున, చుట్టును, అంతటను అను అర్ధం ఇచ్చును",,,,1,,,,2,,
చుట్లబెట్టు,"ప్రధక్షిణించు, వలగొను",,,,2,,,,1,,
చునాయించు,మడతపెట్టు,,,,1,,,,2,,
చుబ్బనచూఱలాడు,పెద్దకొల్లగొను,,,,2,,1,,,,
చుఱ(ర)వుచ్చు,"దహించు, కాల్చు, నాశనముచేయు","చుఱ,చుఱవోవు",,1,2,,,,,,
చులుక(ల్క)జేయు,"తేలికచేయు, బరువులేనిదిగా జేయు, లాఘవ పఱచు, న్యూనత నొందించు",,,,2,1,,,,,
చుల్లరవెట్టు,"హింసించు, బాధపెట్టు",,,,2,1,,,,,
చూడు,"కాల్చు, దహించు, అంటించు, వెలిగించు",,,,1,,2,,,,
చూచు,"వీక్షించు, కునుగొను, దర్శించు, వేచు, ప్రతేక్షించు, ఆలోచించు

విచారించు, ఎంచు, తలచు, ఎఱకు, తెలిసికొను, పాటించు, లెక్కసేయు, లక్ష్యపెట్టు, జాగ్రత్తతో చూచు, కాపాడు, ఆదరించు, మన్నించు, గుణిచేయు, లక్ష్యముగా గొను, పఠించు, చదువు, పరిశీలించు, పరీక్షించు, వెధకు, అన్వేషించు",,,,2,,1,,,,
చూపించు,"చూపు, కనబఱచు",చూపు,,,2,1,,,,,
చూపు,"కనబఱచు, ఆగపఱచు, వ్యక్తముచేయు, ప్రకటించు, ఏర్పఱుచు, కలిగించు, పెట్టు, ఇచ్చు. 

",చూచు,,,1,,2,,,,
చూపెట్టు,"జాగ్ర్త్తతో చూచు, తదేక దృష్టితో చూచు, ఉపేక్షతతోచూచు, తటస్థుడిగా నుండి చూచు, చూపించు",,,,1,,2,,,,
చూఱ(లు)గొను,కొల్లగొట్టు,చూఱ,,,2,,,1,,,
చూఱదెచ్చు,"కొల్లగొట్టు, కొల్లగొట్టితెచ్చు",,,,1,,,2,,,
చూఱ(లు)ప(వ)ట్టు,చూఱకొను,చూఱ,,,1,,,2,,,
చూఱ(లు)పు(వు)చ్చు,"చూఱపోవజేయు, కొల్లగొట్టు, ఆక్రమించు, అపహరించు, పోజేయు, చెడగొట్టు",చూఱ,,,2,,,1,,,
చూఱపె(వె)ట్టు,కొల్లగొను,,,,1,,,2,,,
"చూఱయిచ్చు, చూఱలిచ్చు",యధేచ్ఛముగననుభవించుటకైయిచ్చు,చూఱ,,,2,,,1,,,
చూఱలుసేయు,చూఱచుచ్చు,,,,1,,,2,,,
చూఱ(లు)విడుచు,"చూఱగొననిచ్చు, యధేష్టముగాననుభవించుటకై వదిలి పెట్టు",చూఱ,,,2,,,1,,,
"చూఱాడు, చూఱలాడు","కొల్ల్లగొట్టు, అపహరింఛు",చూఱ,,,1,,,2,,,
చెంగగొట్టు,"ఓడగొట్టు, ఓడించు",,,1,2,,,,,,
చెంగు,విడుచు,,,1,2,,,,,,
చెండాడు ,"చెండు, చంపు, ఖండించు, చీల్చు",,,,1,,,2,,,
చెండు,"ఖండించు, చంపు, పోగొట్టు",,,,2,,,1,,,
చెండుబెండాడు,ఖండించు,,,,1,,,2,,,
చెందు,"పొందు, కలము, కలయు, కూడు, చేరు",,,,,1,,,2,,
చెకపికలాడు,చెక్కలు ముక్కలు చెయు,,,1,2,,,,,,
చెక్కలుచేయు,ఖండించు,,,,1,,,2,,,
చెక్కలువాపు,"తుకుకలు చేయు, పగులగొట్టు",,,,2,,,1,,,
చెక్కు,"దోపు, తూర్చు, పెట్టు, సవరించు, దిద్దు, పొదుపు, ఖచించు",,,1,2,,,,,,
చెక్కలుసేయు,నశింపజేయు,,,1,,,,2,,,
చెట్టగొను,"చేపట్టు, కైకొను",,,,2,1,,,,,
చెట్టప(వ)ట్టు,"పాణిగ్రహణము సేసికొను, పెండ్లాడు, ఆదరించు",,,,2,1,,,,,
చెడగొట్టు,"చెఱుచు, పాడుచేయు",,,1,2,,,,,,
చడనాడు,నిందించు,,,,1,,,,2,,
చెడుగాడు,నిందించు,,,,2,,,,1,,
చెదరించు,చెదరజేయు,చెదరు,,,2,,,1,,,
చెనకియాడు,కొట్టు,,,,1,,2,,,,
చెనకు(న్కు),"తాకు, స్ప్లిశించు, ముట్టుకొను, మార్కొను, ఎదుర్కొను, రమించు రేపు, రేగజేయు, ద్వేషించు, కాటు వేయు",,,,2,,1,,,,
చెనయు1,"తాకు, ముట్టు, ఎదిరించు, ప్రతిఘటించు, మార్కొను",,,,1,,2,,,,
చెనయు2 - ఎనయు,"పోలు  
",,,,2,,1,,,,
చెప్పు,"వచించు, వినుచు, నిర్వచించు, ఉపదేశించు, బోధించు, పాఠము చేప్పు, వర్జించు, స్తుతించు, పొగడు, పఠించు, ఉచ్చరించు, రచించు, ఆజ్ఞాపించు, నియోగించు, నియంత్రించు, దూఱు, నిందించు",,,,1,2,,,,,
చెమ్మగించు,"చెమ్మగిల్లజేయు, తడిచేయు",చెమ్మ,,1,2,,,,,,
చెరుగు,(బియ్యము లోనగువానిని) చేటలో బాగు చేయు,,,2,1,,,,,,
చెరువు,"గ్రుచ్చు, నాటు, పొడచు, తుఱుము, సంఘటించు, సవరించు",,,,1,,,2,,,
చెఱగొను,చెఱపట్టు కొను,,,,2,,,,1,,
చెఱదెచ్చు,బందిగా దెచ్చు,,,,1,,,,2,,
చెఱలుగొను,చెఱలు పట్టు,,,,2,,,,1,,
చెఱలుదెచ్చు,ఖైదీలుగా తెచ్చు,,,,1,,,,2,,
చెఱలుపట్టు,చెరలు దెచ్చు,,,,1,,,,2,,
"చెఱుచు(ర్చు), చెఱచు","చెడజేయు, నశింపజేయు",,,,1,,2,,,,
